Country_name,year,Regional_indicator,Life_Ladder,Life_Ladder_Avg,MAE
Turkmenistan,2021,Commonwealth of Independent States,5.066,5.709,0.6429999999999998
Uganda,2020,Sub-Saharan Africa,4.43200016,4.295,0.13700016000000037
Uganda,2021,Sub-Saharan Africa,4.636,4.277,0.359
Ukraine,2020,Commonwealth of Independent States,4.56069994,5.136,0.57530006
Ukraine,2021,Commonwealth of Independent States,4.875,5.146,0.2709999999999999
United Arab Emirates,2020,Middle East and North Africa,6.790800095,6.477,0.3138000949999995
United Arab Emirates,2021,Middle East and North Africa,6.561,6.464,0.09699999999999953
United Kingdom,2020,Western Europe,7.164500237,6.91,0.25450023700000024
United Kingdom,2021,Western Europe,7.064,6.889,0.17499999999999982
United States,2020,North America and ANZ,6.939599991,6.944,0.00440000900000026
United States,2021,North America and ANZ,6.951,6.922,0.028999999999999915
Uruguay,2020,Latin America and Caribbean,6.440100193,6.554,0.11389980700000013
Uruguay,2021,Latin America and Caribbean,6.431,6.546,0.11500000000000021
Uzbekistan,2020,Commonwealth of Independent States,6.257599831,5.823,0.4345998309999999
Uzbekistan,2021,Commonwealth of Independent States,6.179,5.781,0.3980000000000006
Venezuela,2020,Latin America and Caribbean,5.053199768,5.689,0.6358002320000002
Venezuela,2021,Latin America and Caribbean,4.892,5.686,0.7939999999999996
Vietnam,2020,Southeast Asia,5.353499889,5.103,0.2504998890000003
Vietnam,2021,Southeast Asia,5.411,5.085,0.3259999999999996
Yemen,2020,Middle East and North Africa,3.527400017,4.234,0.7065999829999998
Yemen,2021,Middle East and North Africa,3.658,4.275,0.6170000000000004
Zambia,2020,Sub-Saharan Africa,3.759399891,4.457,0.6976001089999997
Zambia,2021,Sub-Saharan Africa,4.073,4.49,0.4169999999999998
Zimbabwe,2020,Sub-Saharan Africa,3.299200058,4.296,0.9967999420000004
Zimbabwe,2021,Sub-Saharan Africa,3.145,4.305,1.1599999999999997
